entry_angle,speed,speed_variance,stop_duration,time_of_intrusion,path_deviation
134.8344428,3.558190512,0.838953369,247.0075474,6,1.807974708
342.2571503,0.34493684,0.0,196.4620841,22,1.659154427
263.5178191,1.288957819,0.214552137,74.13121005,17,1.307824926
215.5170543,0.844987118,0.0,0.0,21,1.0
56.16671056,1.776048959,0.27203168,0.0,20,1.498490426
56.15802732,3.043569533,0.38678044,0.0,1,1.616872391
20.91010038,0.515223521,0.553368462,175.7418924,7,1.16630881
311.8234125,1.323088747,0.220906868,117.3443603,22,1.46455687
216.4014042,1.211520518,0.459028947,0.0,14,1.107990965
254.906128,2.107833368,0.392843279,0.0,5,1.0
7.410417946,0.452410324,0.738165716,0.0,20,1.0
349.1675468,3.2077906,0.903650216,93.79271776,12,1.362421389
299.6793507,0.954190651,0.685683042,263.8368698,4,1.909289652
76.44207984,0.319342283,0.852124337,0.0,21,1.0
50.21778983,2.972417377,0.704542093,0.0,17,1.0
105.1720735,3.65729982,0.84337445,88.68415286,19,1.132707989
131.8902636,0.633636912,0.579625826,84.05926089,4,1.804835851
164.1851943,1.249893195,0.598047702,0.0,12,1.48854698
282.6633461,0.989645128,0.737358571,0.0,6,1.411619921
71.88256158,1.883876112,0.461543269,49.2573918,3,1.0
185.1243978,3.64129636,0.0,252.7848599,12,1.0
213.2692448,0.504633318,0.599298538,118.9829616,16,1.0
16.72214858,3.170366283,0.30046855,129.2229932,7,1.0
218.7161467,0.71215617,0.266286528,209.3439819,2,1.192352735
61.38868453,1.644205482,0.227372948,0.0,15,1.144181998
23.41857347,3.432588661,0.0,0.0,1,1.373921495
341.5987934,0.82225751,0.440131416,0.0,0,1.714313349
347.6275319,1.550765726,0.600319307,0.0,7,1.049425499
291.0230453,0.909073821,0.907204164,101.1759315,2,1.79964049
109.6609569,3.319408964,0.36370847,0.0,16,1.50581866
35.16196104,3.917037216,1.231006461,0.0,18,1.868784927
246.3238895,3.214115985,0.833503035,185.0734428,23,1.0
158.4548977,0.887696695,0.151565616,38.81915919,15,1.769158194
